value,footprint,libsource/_lib,libsource/_part,libsource/_description,sheetpath/_names,sheetpath/_tstamps,tstamp,_ref,datasheet,fields/field/0/_name,fields/field/0/__text,fields/field/1/_name,fields/field/1/__text,fields/field/2/_name,fields/field/2/__text,fields/field/3/_name,fields/field/3/__text,fields/field/4/_name,fields/field/4/__text,fields/field/5/_name,fields/field/5/__text,fields/field/6/_name,fields/field/6/__text,fields/field/7/_name,fields/field/7/__text,fields/field/8/_name,fields/field/8/__text
programmer,Connector_PinHeader_2.54mm:PinHeader_2x03_P2.54mm_Vertical,AAquad_PCB-rescue,Conn_02x03_Counter_Clockwise,,/,/,5AFFD18C,J1,,,,,,,,,,,,,,,,,,,
10K,Resistor_SMD:R_0805_2012Metric,AAquad_PCB-rescue,R,,/,/,5B009C4D,R6,,,,,,,,,,,,,,,,,,,
0.1uF,Capacitors_SMD:C_0805,AAquad_PCB-rescue,C,,/,/,5B01389E,C7,,,,,,,,,,,,,,,,,,,
10uF,Capacitors_SMD:C_0805,AAquad_PCB-rescue,C,,/,/,5B01393C,C8,,,,,,,,,,,,,,,,,,,
green,LEDs:LED_0805_HandSoldering,AAquad_PCB-rescue,LED,,/,/,5B01445F,D1,,,,,,,,,,,,,,,,,,,
0.1uF,Capacitors_SMD:C_0805,AAquad_PCB-rescue,C,,/,/,5B01AE0E,C3,,,,,,,,,,,,,,,,,,,
10uF,Capacitors_SMD:C_0805,AAquad_PCB-rescue,C,,/,/,5B01AECE,C4,,,,,,,,,,,,,,,,,,,
0.1uF,Capacitors_SMD:C_0805,AAquad_PCB-rescue,C,,/,/,5B01F518,C1,,,,,,,,,,,,,,,,,,,
10uF,Capacitors_SMD:C_0805,AAquad_PCB-rescue,C,,/,/,5B01F5DD,C2,,,,,,,,,,,,,,,,,,,
10K,Resistor_SMD:R_0805_2012Metric,AAquad_PCB-rescue,R,,/,/,5B020FB2,R5,,,,,,,,,,,,,,,,,,,
300,Resistor_SMD:R_0805_2012Metric,AAquad_PCB-rescue,R,,/,/,5B014D38,R3,,,,,,,,,,,,,,,,,,,
BSS138,TO_SOT_Packages_SMD:SOT-23,AAquad_PCB-rescue,BSS138,,/,/,5B066D86,Q2,,,,,,,,,,,,,,,,,,,
BSS138,TO_SOT_Packages_SMD:SOT-23,AAquad_PCB-rescue,BSS138,,/,/,5B0670F5,Q1,,,,,,,,,,,,,,,,,,,
SPX1117M3-L-5-0_TR,SamacSys_Parts:SOT230P700X170-4N,AAquad_PCB-rescue,SPX1117M3-L-5-0_TR,,/,/,5B6A5D1A,PS1,https://www.exar.com/ds/spx1117_ds_r210_082411.pdf,Arrow Part Number,SPX1117M3-L-5-0/TR,Arrow Price/Stock,https://www.arrow.com/en/products/spx1117m3-l-5-0tr/exar,Description,LDO Voltage Regulators 800mALOW DROPOUT,Height,1.7,Manufacturer_Name,EXAR,Manufacturer_Part_Number,SPX1117M3-L-5-0/TR,,,,,,
MPL3115A2,sensors:MPL3115A2,MPL3115A2,MPL3115A2,"MPL3115A2, Absolute Pressure Sensor, 110kPa 0.9  1 V Output, 8-Pin LGA",/,/,5D61CB39,IC2,http://uk.rs-online.com/web/p/products/7500841,Description,"MPL3115A2, Absolute Pressure Sensor, 110kPa 0.9  1 V Output, 8-Pin LGA",Manufacturer_Name,Nexperia,Manufacturer_Part_Number,MPL3115A2,RS Part Number,7500841,RS Price/Stock,http://uk.rs-online.com/web/p/products/7500841,,,,,,,,
0.1uF,Capacitors_SMD:C_0805,Device,C,Unpolarized capacitor,/,/,5D72BD62,C13,~,,,,,,,,,,,,,,,,,,
100uF,Capacitor_SMD:C_1206_3216Metric,Device,C,Unpolarized capacitor,/,/,5DA2FA31,C9,~,,,,,,,,,,,,,,,,,,
BMX160,sensors:bmx160,BMX160,BMX160,IMUs - Inertial Measurement Units 9-axis (9DOF) Absolute Orientation MEMS Sensor,/,/,5DA63717,IC1,http://www.mouser.com/datasheet/2/783/BST-BMX160-DS000-11-1480547.pdf,Description,IMUs - Inertial Measurement Units 9-axis (9DOF) Absolute Orientation MEMS Sensor,Height,0.88,Manufacturer_Name,Bosch Sensortec,Manufacturer_Part_Number,BMX160,Mouser Part Number,262-BMX160,Mouser Price/Stock,https://www.mouser.com/Search/Refine.aspx?Keyword=262-BMX160,,,,,,
10K,Resistor_SMD:R_0805_2012Metric,Device,R,Resistor,/,/,5DCD5F56,R1,~,,,,,,,,,,,,,,,,,,
PCA9685PW_112,digikey-footprints:TSSOP-28_W4.40mm,AAquad_PCB-rescue,PCA9685PW_112-RESCUE-AAquad_PCB,,/,/,5B007CE9,U2,https://www.nxp.com/docs/en/data-sheet/PCA9685.pdf,Category,Integrated Circuits (ICs),DK_Datasheet_Link,https://www.nxp.com/docs/en/data-sheet/PCA9685.pdf,DK_Detail_Page,"/product-detail/en/nxp-usa-inc/PCA9685PW,112/568-8366-5-ND/2034324",Description,IC LED DRVR LIN DIM 25MA 28TSSOP,Digi-Key_PN,568-8366-5-ND,Family,PMIC - LED Drivers,MPN,"PCA9685PW,112",Manufacturer,NXP USA Inc.,Status,Active
2K,Resistor_SMD:R_0805_2012Metric,Device,R,Resistor,/,/,5DE25B41,R8,~,,,,,,,,,,,,,,,,,,
2K,Resistor_SMD:R_0805_2012Metric,Device,R,Resistor,/,/,5DE26598,R2,~,,,,,,,,,,,,,,,,,,
Atmega328pb,microcontrollers:ATMEGA328PB-ANR,Misc,Atmega328pb,,/,/,5D60BAF7,U1,,,,,,,,,,,,,,,,,,,
10K,Resistor_SMD:R_0805_2012Metric,AAquad_PCB-rescue,R,,/,/,5B009BD8,R7,,,,,,,,,,,,,,,,,,,
Crystal,Crystals:Crystal_SMD_7050-2pin_7.0x5.0mm,Device,Crystal,Two pin crystal,/,/,5D83D52A,Y1,~,,,,,,,,,,,,,,,,,,
33pF,Capacitor_SMD:C_0402_1005Metric,Device,C,Unpolarized capacitor,/,/,5D880116,C11,~,,,,,,,,,,,,,,,,,,
33pF,Capacitor_SMD:C_0402_1005Metric,Device,C,Unpolarized capacitor,/,/,5D88142F,C10,~,,,,,,,,,,,,,,,,,,
Receiver_Output,Connector_PinHeader_2.54mm:PinHeader_2x03_P2.54mm_Vertical,Connector_Generic,Conn_02x03_Counter_Clockwise,"Generic connector, double row, 02x03, counter clockwise pin numbering scheme (similar to DIP packge numbering), script generated (kicad-library-utils/schlib/autogen/connector/)",/,/,5D8ADF89,J2,~,,,,,,,,,,,,,,,,,,
ESC_Input,Connector_PinHeader_2.54mm:PinHeader_2x03_P2.54mm_Vertical,Connector_Generic,Conn_02x03_Counter_Clockwise,"Generic connector, double row, 02x03, counter clockwise pin numbering scheme (similar to DIP packge numbering), script generated (kicad-library-utils/schlib/autogen/connector/)",/,/,5D8AF12E,J3,~,,,,,,,,,,,,,,,,,,
100uF,Capacitor_SMD:C_1206_3216Metric,Device,C,Unpolarized capacitor,/,/,5D990D4F,C5,~,,,,,,,,,,,,,,,,,,
0.1uF,Capacitors_SMD:C_0805,Device,C,Unpolarized capacitor,/,/,5D9AE831,C6,~,,,,,,,,,,,,,,,,,,
0.1uF,Capacitors_SMD:C_0805,Device,C,Unpolarized capacitor,/,/,5D9BB021,C12,~,,,,,,,,,,,,,,,,,,
300,Resistor_SMD:R_0805_2012Metric,AAquad_PCB-rescue,R,,/,/,5B014C86,R4,,,,,,,,,,,,,,,,,,,
red,LEDs:LED_0805_HandSoldering,AAquad_PCB-rescue,LED,,/,/,5B014543,D2,,,,,,,,,,,,,,,,,,,
ultrasonic,Connector_PinHeader_2.54mm:PinHeader_2x02_P2.54mm_Vertical,Connector_Generic,Conn_02x02_Counter_Clockwise,"Generic connector, double row, 02x02, counter clockwise pin numbering scheme (similar to DIP packge numbering), script generated (kicad-library-utils/schlib/autogen/connector/)",/,/,5DA7B7E2,J4,~,,,,,,,,,,,,,,,,,,
levelShifter,levelShifters:74LVC1T45GW_125,74LVC1T45GW_125,"74LVC1T45GW,125","NXP - 74LVC1T45GW,125 - TRANSCEIVER, 3 STATE, SOT-363-6",/,/,5DB12994,IC3,"https://componentsearchengine.com/Datasheets/1/74LVC1T45GW,125.pdf",Description,"NXP - 74LVC1T45GW,125 - TRANSCEIVER, 3 STATE, SOT-363-6",Height,1.1,Manufacturer_Name,Nexperia,Manufacturer_Part_Number,"74LVC1T45GW,125",Mouser Part Number,771-74LVC1T45GW125,Mouser Price/Stock,https://www.mouser.com/Search/Refine.aspx?Keyword=771-74LVC1T45GW125,,,,,,
levelShifter,levelShifters:74LVC1T45GW_125,74LVC1T45GW_125,"74LVC1T45GW,125","NXP - 74LVC1T45GW,125 - TRANSCEIVER, 3 STATE, SOT-363-6",/,/,5DB795A6,IC4,"https://componentsearchengine.com/Datasheets/1/74LVC1T45GW,125.pdf",Description,"NXP - 74LVC1T45GW,125 - TRANSCEIVER, 3 STATE, SOT-363-6",Height,1.1,Manufacturer_Name,Nexperia,Manufacturer_Part_Number,"74LVC1T45GW,125",Mouser Part Number,771-74LVC1T45GW125,Mouser Price/Stock,https://www.mouser.com/Search/Refine.aspx?Keyword=771-74LVC1T45GW125,,,,,,
levelShifter,levelShifters:74LVC1T45GW_125,74LVC1T45GW_125,"74LVC1T45GW,125","NXP - 74LVC1T45GW,125 - TRANSCEIVER, 3 STATE, SOT-363-6",/,/,5DB8B8A0,IC5,"https://componentsearchengine.com/Datasheets/1/74LVC1T45GW,125.pdf",Description,"NXP - 74LVC1T45GW,125 - TRANSCEIVER, 3 STATE, SOT-363-6",Height,1.1,Manufacturer_Name,Nexperia,Manufacturer_Part_Number,"74LVC1T45GW,125",Mouser Part Number,771-74LVC1T45GW125,Mouser Price/Stock,https://www.mouser.com/Search/Refine.aspx?Keyword=771-74LVC1T45GW125,,,,,,
levelShifter,levelShifters:74LVC1T45GW_125,74LVC1T45GW_125,"74LVC1T45GW,125","NXP - 74LVC1T45GW,125 - TRANSCEIVER, 3 STATE, SOT-363-6",/,/,5DBA6F7E,IC6,"https://componentsearchengine.com/Datasheets/1/74LVC1T45GW,125.pdf",Description,"NXP - 74LVC1T45GW,125 - TRANSCEIVER, 3 STATE, SOT-363-6",Height,1.1,Manufacturer_Name,Nexperia,Manufacturer_Part_Number,"74LVC1T45GW,125",Mouser Part Number,771-74LVC1T45GW125,Mouser Price/Stock,https://www.mouser.com/Search/Refine.aspx?Keyword=771-74LVC1T45GW125,,,,,,
10uF,Capacitor_SMD:C_0805_2012Metric,Device,C,Unpolarized capacitor,/,/,5DBEEB7C,C14,~,,,,,,,,,,,,,,,,,,
10uF,Capacitor_SMD:C_0805_2012Metric,Device,C,Unpolarized capacitor,/,/,5DBEF6BD,C15,~,,,,,,,,,,,,,,,,,,
10uF,Capacitor_SMD:C_0805_2012Metric,Device,C,Unpolarized capacitor,/,/,5DBEFEA3,C16,~,,,,,,,,,,,,,,,,,,
10uF,Capacitor_SMD:C_0805_2012Metric,Device,C,Unpolarized capacitor,/,/,5DBF0B0D,C17,~,,,,,,,,,,,,,,,,,,
